"Sample_Size","Requested_Contamination","Realized_Contamination","Number_Clean","Number_Outliers","Monte_Carlo_Repetitions","Average_Mean_Estimate","Average_Median_Estimate","Bias_Mean","Bias_Median","Variance_Mean","Variance_Median","MSE_Mean","MSE_Median","Relative_Efficiency","Best_by_Variance","Best_by_MSE"
30,0,0,30,0,1000,4.01618197058835,4.00968916450237,0.0161819705883506,0.00968916450237334,0.136019042025222,0.212650206162726,0.136144879155319,0.212531435865318,1.5633855598196,"Mean","Mean"
30,0.05,0.0666666666666667,28,2,1000,4.71453127518465,4.16746385379117,0.714531275184648,0.167463853791166,0.138357840956428,0.21238311691676,0.64877442633247,0.240214876126433,1.53502768942199,"Mean","Median"
30,0.1,0.1,27,3,1000,5.1141691673028,4.29756108120049,1.1141691673028,0.297561081200486,0.138549608436579,0.22875457938743,1.37978399219636,0.317068421853245,1.65106622796515,"Mean","Median"
30,0.15,0.166666666666667,25,5,1000,5.83997969687246,4.51358694810853,1.83997969687246,0.513586948108525,0.141552068245429,0.257576260779449,3.52693580108004,0.521090237786098,1.81965734568323,"Mean","Median"
30,0.2,0.2,24,6,1000,6.20370871612841,4.63659113690505,2.20370871612841,0.636591136905052,0.128084190578384,0.234405581728018,4.98428821192813,0.639419451732357,1.83008988595332,"Mean","Median"
50,0,0,50,0,1000,3.99910063155374,3.98939110514294,-0.000899368446259263,-0.0106088948570551,0.0834224811964744,0.118806069332196,0.0833398675788799,0.118799811912952,1.42414931356917,"Mean","Mean"
50,0.05,0.06,47,3,1000,4.66965061801225,4.16248218532738,0.669650618012247,0.162482185327375,0.0754364099438524,0.128842171722701,0.523792923738094,0.155113790099738,1.70795736195026,"Mean","Median"
50,0.1,0.1,45,5,1000,5.11570851217349,4.28242807281748,1.11570851217349,0.28242807281748,0.0788899238533902,0.137888257922117,1.32361651806591,0.217515985979591,1.74785639517627,"Mean","Median"
50,0.15,0.16,42,8,1000,5.7474839030748,4.47071077687723,1.7474839030748,0.47071077687723,0.0822612253098019,0.147688837975486,3.13587895559003,0.369109784605876,1.79536394479025,"Mean","Median"
50,0.2,0.2,40,10,1000,6.19418137372652,4.63260654821615,2.19418137372652,0.632606548216146,0.0794219437108704,0.15475502231039,4.89377442257553,0.554791312134027,1.94851718655695,"Mean","Median"
100,0,0,100,0,1000,3.99062959972966,3.98654299252234,-0.0093704002703352,-0.0134570074776557,0.0413441182155241,0.06255159679516,0.0413905784985349,0.0626701362486184,1.51295031784407,"Mean","Mean"
100,0.05,0.05,95,5,1000,4.55565814275785,4.13554822895045,0.555658142757853,0.135548228950447,0.0388149707836976,0.065587501739098,0.34753212742602,0.0838952366089617,1.68974754881549,"Mean","Median"
100,0.1,0.1,90,10,1000,5.10552853892025,4.28755700812334,1.10552853892025,0.287557008123341,0.038541616597,0.0673184172704354,1.26069642534754,0.149940131774012,1.74664228473684,"Mean","Median"
100,0.15,0.15,85,15,1000,5.64970595614012,4.44485903916302,1.64970595614012,0.444859039163017,0.0362976576122536,0.0732895900195737,2.75779110167881,0.271115865154597,2.01912726166749,"Mean","Median"
100,0.2,0.2,80,20,1000,6.19287698726871,4.62225823871681,2.19287698726871,0.622258238716812,0.0382682612159075,0.0763693248668942,4.84693947424738,0.463498271192976,1.99563090771285,"Mean","Median"
200,0,0,200,0,1000,4.00209540803975,3.99646223782203,0.00209540803975017,-0.00353776217797375,0.0203426921702832,0.031920981616306,0.0203267402129659,0.0319015763959176,1.56916210249381,"Mean","Mean"
200,0.05,0.05,190,10,1000,4.54680423691702,4.13688676978646,0.546804236917016,0.136886769786458,0.0199213184082581,0.0357157714383415,0.318896270600249,0.054418043409474,1.79284175406464,"Mean","Median"
200,0.1,0.1,180,20,1000,5.10426730369487,4.27466514508987,1.10426730369487,0.274665145089869,0.0182822210433809,0.0335584613744394,1.23767021683187,0.108965844840304,1.83557901935495,"Mean","Median"
200,0.15,0.15,170,30,1000,5.64987869584069,4.44493951585621,1.64987869584069,0.444939515856209,0.0207908887903196,0.0380759036599107,2.7428698088905,0.236009000526608,1.83137450466471,"Mean","Median"
200,0.2,0.2,160,40,1000,6.20000565132749,4.6342126831793,2.20000565132749,0.634212683179301,0.0201793053162826,0.0414646296549211,4.86018399188384,0.443648892530755,2.05480956876466,"Mean","Median"
500,0,0,500,0,1000,4.00345112015477,4.00296302888333,0.00345112015477334,0.00296302888333333,0.00790224087741606,0.0124658883013404,0.00790624886686134,0.0124622019532026,1.57751307442005,"Mean","Mean"
500,0.05,0.05,475,25,1000,4.54643918930091,4.13061831229949,0.546439189300913,0.13061831229949,0.00725809046517176,0.0125835809395424,0.305846619978546,0.0296321408665697,1.73373161989716,"Mean","Median"
500,0.1,0.1,450,50,1000,5.10081088201477,4.27694008592138,1.10081088201477,0.27694008592138,0.00790867663625675,0.0136092666217702,1.21968536592175,0.0902914685452897,1.72080200616366,"Mean","Median"
500,0.15,0.15,425,75,1000,5.64818751403913,4.44035222329233,1.64818751403913,0.440352223292331,0.00824091332928166,0.0145559550184635,2.72475475385042,0.208451479621944,1.76630361670511,"Mean","Median"
500,0.2,0.2,400,100,1000,6.1985444040295,4.63038790158981,2.1985444040295,0.630387901589807,0.00806140236954484,0.0171003182413373,4.84165083745659,0.414472124393896,2.12125849293177,"Mean","Median"
